yiddish,transliteration
קוואָטע,kvote
קוואַטער,kvater
קוואַטערין,kvaterin
קוואַל,kval
קוויט,kvit
קוויטונג,kvitung
קוויטל,kvitl
קווייט,kveyt
קוועטשער,kvetsher
קוטשמע,kutshme
קויל,koyl
קוילנשטאָף,koylnshtof
קוימען,koymen
קויפֿמאַן,koyfman
קויש,koysh
קוישבאָל,koyshbol
קוכן,kukhn
קוֹל,kol
קולטור,kultur
קונסט,kunst
קונץ,kunts
קונצנמאַכער,kuntsnmakher
קוסט,kust
קוסעלע,kusele
קופּער,kuper
קוראָפּאַטע,kuropate
קורווע,kurve
קוּרְס,kurs
קוש,kush
קִיבּוּץ,kibútz
קידוש \ ,kidush
קִיּוּם,kiyúm
קיטל,kitl
קייט,keyt
קייסער,keyser
קיישל,keyshl
קיך,kikh
קיכל,kikhl
קילאָ,kilo
קילאָמעטער,kilometer
קימפּעט,kimpet
קימפּעט־פּאַלאַטע,kimpet-palate
קימפּעטאָרין,kimpetorin
קימפּעטקינד,kimpetkind
קַיִן,káyin
קינאָ,kino
קינביין,kinbeyn
קינד,kind
קינדעלע,kindele
קינדערביכל,kinderbikhl
קינדערגאָרטן,kindergortn
קיניג,kinig
קיניגין,kinigin
קיניגל,kinigl
קינסטלער,kinstler
קינסטלערין,kinstlerin
קירזשנער,kirzhner
קירך,kirkh
קירכע,kirkhe
קישינעווער,kishinever
קישן,kishn
קלאָג,klog
קלאָגליד,kloglid
קלאָגער,kloger
קלאַוויאַטור,klavyatur
קלאַס,klas
קלאַסנקאַמף,klasnkamf
קלאַרנעט,klarnet
קלאַרנעטיסט,klarnetist
קלויסטער,kloyster
קליי,kley
קלימאַט,klimat
קליפּה,klipe
קְלָלָה,k'lalá
קלעזמער,klezmer
קָמָץ,kamáts
קמץ־אלף,komets-alef
קנאָבל,knobl
קַנָּאוּת,kana'út
קני,kni
קניידל,kneydl
קְנִישׁ,k'nísh
קנס,knas
קנעכט,knekht
קנעכל,knekhl
קנײַפּער,knayper
קסילאָפֿאָן,ksilofon
קעז,kez
קעטשאָפּ,ketshop
קעלנער,kelner
קעלנערין,kelnerin
קעלנערשע,kelnershe
קעמל,keml
קעמפֿער,kemfer
קעניג,kenig
קעניגין,kenigin
קעפּל,kepl
קעצל,ketsl
קעצעלע,ketsele
קערן,kern
קערנדל,kerndl
קערניצע,kernitse
קערפּער,kerper
קעשענע,keshene
קעשענעווער,keshenever
קראָ,kro
קראַב,krab
קראַוואַט,kravat
קראָם,krom
קראַפֿט,kraft
קראָקאָדיל,krokodil
קורבן \ ,korbán
קרויט,kroyt
קרוין,kroyn
קרוינעלע,kroynele
קרופּניק,krupnik
קריג,krig
קריטיק,kritik
קריטיקער,kritiker
קריניצע,krinitse
קריסט,krist
קריפּטאָן,kripton
קרעם,krem
קרעמל,kreml
קרעמער,kremer
קרעניצע,krenitse
קרעפּל,krepl
קרעפּלפֿלייש,kreplfleysh
קרײַד,krayd
קרײַז,krayz
ראָב,rob
ראַבינער,rabiner
ראָג,rog
ראָגאַל,rogal
ראָד,rod
ראַדזשאַ,radzha
ראַדיאָ,radyo
ראָווער,rover
ראָזשינקע,rozhinke
ראַט,rat
ראָט,rot
ראָטהויז,rothoyz
ראָלע,role
ראָמאַן,roman
ראַץ,rats
ראַציאָנאַליזם,ratsyonalizm
ראַקעט,raket
ראָש־השנה,rosheshone
רִאשׁוֹן,rishón
רַב,ráv
רבֿ,rov
רִבִּי,ribbī
רבי־ניסל,rebe-nisl
רבינו,rabeynu
רביניו,rebenyu
רביסטװע,rebistve
רביצין,rebetsin
רַבֵּנוּ,rabéinu
רֶגַע,réga'
רובֿ,rov
רובל,rubl
רוגז,roygez
רוגזה,rugze
רודער,ruder
רוּחַ,rúach
רוּחָנִיּוּת,rukhaniyút
רויז,royz
רויטאַרמייער,roytarmeyer
רומעניש,rumenish
רומענער,rumener
רוס,rus
רוסלענדער,ruslender
רוֹקֵן,rokén
רַחְמָנוּת,rakhmanút
ריטער,riter
ריכטער,rikhter
רינג,ring
רינד,rind
רינדפֿלייש,rindfleysh
ריפּ,rip
רעגירונג,regirung
רעגלאַמענט,reglament
רעגן,regn
רעגן־בויגן,regn-boygn
רעגן־מאַנטל,regn-mantl
רעגנבויגן,regnboygn
רעדאַקטאָר,redaktor
רעדער,reder
רעוואָלווער,revolver
רעוואָלוציע,revolutsye
רעטעך,retekh
רעטעכל,retekhl
רעכט,rekht
רעליגיע,religye
רענדל,rendl
רעסטאָראַן,restoran
רעפֿאָרם,reform
רעפּובליק,republik
רעפּעטיציע,repetitsye
רעפּערטואַר,repertuar
רעפֿערענדום,referendum
רעצעפּט,retsept
רעקל,rekl
רעשט,resht
רפֿואה,refue
רײַז,rayz
רײַכקײַט,raykhkayt
ר׳‎,r'
שׂונא,soyne
שׂטן,sotn
שׂינאה,sine
שׂכירות,skhires
שׂכל,seykhl
שׂכר,skhar
שׂמחה,simkhe
שׂנאה,sine
שׂרפֿה,sreyfe
שׂררה,srore
שאָ,sho
שאָד,shod
שאָטן,shotn
שאָך,shokh
שאַכמאַט,shakhmat
שאָכפֿיגור,shokhfigur
שאַל,shal
שאַליקל,shalikl
שאַנדע,shande
שאָס,shos
שאָף,shof
שאַקאַל,shakal
שאַרבן,sharbn
שְׁאֵלָה,sh'elá
שבֿט,sheyvet
שְׁבַת,šəḇaṯ
שָׁד,shad
שדכן,shadkhn
שוואַב,shvab
שוואָגער,shvoger
שוואָם,shvom
שוואַן,shvan
שוואַנץ,shvants
שוואַרצער,shvartser
שוויגער,shviger
שוויץ,shvits
שוויצבאָד,shvitsbod
שוועבל,shvebl
שוועגערין,shvegerin
שוועדיש,shvedish
שוועמל,shveml
שוועסטער,shvester
שוועסטערל,shvesterl
שווער,shver
שווערד,shverd
שׁוֹחֵט,shokhét
שׁוֹטֶה,shoté
שויס,shoys
שוישפּילער,shoyshpiler
שוישפּילערין,shoyshpilerin
שוך,shukh
שׁוּל,shúl
שולד,shuld
שולע,shule
שוסטער,shuster
שופּ,shup
שופֿט,shoyfet
שׁוֹפָר,shofár
שופֿר,shoyfer
שורש \ ,shóresh
שְׁחוֹר,shkhor
שטאָהל,shtohl
שטאַט,shtat
שטאָט,shtot
שטאָטגאָרטן,shtotgortn
שטאָל,shtol
שטאַפּל,shtapl
שטאַפֿעט,shtafet
שטאָקפֿיש,shtokfish
שטוב,shtub
שטודיע,shtudye
שטויב,shtoyb
שטויבזויגער,shtoybzoyger
שטויבמאַשין,shtoybmashin
שטול,shtul
שטופּ,shtup
שטורעם,shturem
שטות,shtus
שטותערײַ,shtuseray
שטיבל,shtibl
שטיוול,shtivl
שטיין,shteyn
שטיק,shtik
שטיקל,shtikl
שטיקשטאָף,shtikshtof
שטעטל,shtetl
שטעכל־חזיר,shtekhl-khazer
שטעכלער,shtekhler
שטעכער,shtekher
שטעקל,shtekl
שטעקן,shtekn
שטערן,shtern
שטראָם,shtrom
שְׁטְרוּדֶל,shtrúdel
שטרוי,shtroy
שטריק,shtrik
שטרײַמל,shtrayml
שטשאַוו,shtshav
שידוך \ ,shidúkh
שייגעץ,sheygets
שייגעצל,sheygetsl
שייד,sheyd
שייטל,sheytl
שייך \ ,shayákh
שיין,sheyn
שיינקייט,sheynkeyt
שיכּור,shiker
שילד,shild
שילדערונג,shilderung
שינקע,shinke
שיעור \ ,shi'úr
שיף,shif
שיפֿל,shifl
שיפֿער,shifer
שיפֿערין,shiferin
שיקסע,shikse
שִׁיר,shir
שִׁירָה,shirá
שירעם,shirem
שישקע,shishke
שְׁכִינָה,sh'khiná
שָׁכַן,shakhán
שלאַכט,shlakht
שלאַכטמאַן,shlakhtman
שלאַכטפֿעלד,shlakhtfeld
שלאַנג,shlang
שלאָס,shlos
שלאָסער,shloser
שלאָף,shlof
שלאָפֿלאָזיקייט,shloflozikeyt
שלאָפֿצימער,shloftsimer
שלאַפֿקייט,shlafkeyt
שלאָפֿראָק,shlofrok
שָׁלוֹם,shalóm
שלוש־סעודות,shaleshudes
שליוכע,shlyukhe
שָׁלִיחַ,shalíakh
שלייקעס,shleykes
שלימזל,shlimazl
שלימזלניצע,shlimazlnitse
שלימיל,shlimil
שליסל,shlisl
שלעסל,shlesl
שמאַטע,shmate
שמאָך,shmokh
שמאַלץ,shmalts
שמאַנט,shmant
שמאָק,shmok
שמאָראַק,shmorak
שמועס,shmues
שמוץ,shmuts
שמיד,shmid
שמידהאַמער,shmidhamer
שמייכל,shmeykhl
שָׁמִיר,shamír
שמירקעז,shmirkez
שמעגעגע,shmegege
שמעק,shmek
שמעקל,shmekl
שמעקעלע,shmekele
שמערץ,shmerts
שמשׂ,shames
שמשׂטע,shameste
שנאָז,shnoz
שנאַפּס,shnaps
שנאָרער,shnorer
שנור,shnur
שניי,shney
שניימענטש,shneymentsh
שנייעלע,shneyele
שניפּס,shnips
שנירל,shnirl
שנעק,shnek
שנײַדער,shnayder
שנײַדערוק,shnayderuk
שנײַדעריונג,shnayderyung
שנײַדערקע,shnayderke
שנײַדערײַ,shnayderay
שָׁעָה,sha'á
שעפּטש,sheptsh
שעפּס,sheps
שַׁעַר,shá'ar
שערל,sherl
שערער,sherer
שערערין,shererin
שפּאַלט,shpalt
שפּאַניער,shpanyer
שפּיאָן,shpyon
שפּיאָנאַזש,shpyonazh
שפּיגל,shpigl
שפּיז,shpiz
שפּיטאָל,shpitol
שפּיל,shpil
שפּילער,shpiler
שפּילקע,shpilke
שפּין,shpin
שפּינאַט,shpinat
שפּינוועב,shpinveb
שפּיץ,shpits
שפּעק,shpek
שפּערל,shperl
שפּראַך,shprakh
שפּראַך־וויסנשאַפֿט,shprakh-visnshaft
שפּראַכגעפֿיל,shprakhgefil
שפּריכוואָרט,shprikhvort
שפּרינגער,shpringer
שפּריץ,shprits
שפּײַעכץ,shpayekhts
שפייעכץ,shpayekhts
שפֿלות,shifles
שקלאַף,shklaf
שרויף,shroyf
שרימפּ,shrimp
שריפֿט,shrift
שריפֿטשטעלער,shriftshteler
שרעק,shrek
שרײַבער,shrayber
שרײַבערין,shrayberin
שתּדלן,shtadlen
שתּדלנות,shtadlones
שתוהל,shtuhl
שײַן,shayn
תּאוה,tayve
תּבֿה,teyve
תּבֿואה,tvue
תּהום,tom
תּוך,tokh
תּחינה,tkhine
תּחת,tokhes
תּיפֿלה,tifle
תּיקון,tikn
תּירוץ,teyrets
תּישעה־באָבֿ,tishebov
תּכשיט,takhshet
תּל,tel
תּליה,tliye
תּליון,talyen
תּלין,talyen
תּלמיד,talmed
תּלמידה,talmido
תּם,tam
תּמוז,tamez
תּמימות,temimes
תּנא,tane
תּנאַי,tnay
תּענית,tones
תּפֿילה,tfile
תּפֿילין,tfiln
תּפֿיסה,tfise
תּקופֿה,tkufe
תּקנה,takone
תּרגום,targem
תּשובֿה,tshuve
תּשליך,tashlekh
תּשעה־באָבֿ,tishebov
תּשרי,tishre
תַּחַת,tákhat
